"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Force (N) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Force (N) Run #2"
0.000,0.18,,,-7.1E-15,0.000,0.16,,,-7.1E-15
0.050,0.18,-0.01,,-7.1E-15,0.050,0.16,0.01,,-7.1E-15
0.100,0.18,0.00,0.08,-7.1E-15,0.100,0.16,0.00,-0.02,-7.1E-15
0.150,0.18,0.00,0.03,-7.1E-15,0.150,0.16,0.00,-0.03,-7.1E-15
0.200,0.18,0.00,0.00,-7.1E-15,0.200,0.16,5.79E-4,-0.02,0.0
0.250,0.18,5.79E-4,-0.01,-7.1E-15,0.250,0.16,0.00,-0.01,-7.1E-15
0.300,0.18,0.00,-0.01,-7.1E-15,0.300,0.16,0.00,0.00,-7.1E-15
0.350,0.18,6.12E-6,-0.01,-7.1E-15,0.350,0.16,0.00,0.00,-7.1E-15
0.400,0.18,-5.67E-4,-0.01,-7.1E-15,0.400,0.16,5.45E-6,-0.01,-7.1E-15
0.450,0.18,0.00,0.00,0.0,0.450,0.16,-5.68E-4,-0.01,-7.1E-15
0.500,0.18,0.00,0.00,-7.1E-15,0.500,0.16,0.00,0.00,0.0
0.550,0.18,-5.79E-4,0.01,-7.1E-15,0.550,0.16,0.00,0.00,-7.1E-15
0.600,0.18,0.00,0.01,-7.1E-15,0.600,0.16,-5.79E-4,0.01,0.0
0.650,0.18,0.00,0.00,0.0,0.650,0.16,0.00,0.01,-7.1E-15
0.700,0.18,0.00,0.00,-7.1E-15,0.700,0.16,0.00,0.00,0.0
0.750,0.18,0.00,0.00,-7.1E-15,0.750,0.16,0.00,0.00,0.0
0.800,0.18,0.00,0.00,0.0,0.800,0.16,0.00,-1.81E-5,0.0
0.850,0.18,0.00,0.00,-7.1E-15,0.850,0.16,0.00,0.00,-7.1E-15
0.900,0.18,0.00,0.00,-7.1E-15,0.900,0.16,-5.44E-6,0.00,0.0
0.950,0.18,0.00,0.00,-7.1E-15,0.950,0.16,5.73E-4,0.00,-0.1
1.000,0.18,0.00,0.00,-7.1E-15,1.000,0.16,5.73E-4,0.00,-0.5
1.050,0.18,0.00,0.00,-7.1E-15,1.050,0.16,5.73E-4,1.81E-5,-0.5
1.100,0.18,0.00,-2.04E-5,0.0,1.100,0.16,5.73E-4,0.00,-0.4
1.150,0.18,0.00,0.00,-0.3,1.150,0.16,5.79E-4,-0.01,-0.4
1.200,0.18,-6.12E-6,0.00,-0.2,1.200,0.16,1.09E-5,-0.01,-0.5
1.250,0.18,5.73E-4,0.00,-0.3,1.250,0.16,0.00,-0.01,-0.6
1.300,0.18,5.79E-4,0.00,-0.3,1.300,0.16,0.00,0.00,-0.7
1.350,0.18,6.12E-6,-0.01,-0.4,1.350,0.16,-5.79E-4,0.01,-0.7
1.400,0.18,-5.73E-4,0.00,-0.5,1.400,0.16,-5.44E-6,0.01,-0.7
1.450,0.18,-5.79E-4,0.00,-0.6,1.450,0.16,5.68E-4,0.01,-0.7
1.500,0.18,0.00,0.00,-0.6,1.500,0.16,0.00,0.00,-0.8
1.550,0.18,0.00,0.00,-0.7,1.550,0.16,0.00,-0.01,-0.9
1.600,0.18,0.00,0.00,-0.9,1.600,0.16,5.84E-4,-0.01,-0.8
1.650,0.18,0.00,0.00,-1.1,1.650,0.16,-5.68E-4,-0.01,-0.9
1.700,0.18,0.00,0.00,-1.2,1.700,0.16,0.00,-0.01,-1.0
1.750,0.18,0.00,0.00,-1.4,1.750,0.16,0.00,0.01,-1.1
1.800,0.18,0.00,0.00,-1.5,1.800,0.16,-5.84E-4,0.01,-1.2
1.850,0.18,0.00,0.00,-1.6,1.850,0.16,5.68E-4,0.01,-1.2
1.900,0.18,0.00,0.00,-1.8,1.900,0.16,0.00,0.01,-1.4
1.950,0.18,0.00,0.00,-1.7,1.950,0.16,5.68E-4,0.02,-1.5
2.000,0.18,0.00,0.00,-1.8,2.000,0.16,0.00,0.06,-1.5
2.050,0.18,0.00,0.00,-1.8,2.050,0.16,0.01,0.14,-1.7
2.100,0.18,0.00,-1.22E-4,-1.8,2.100,0.16,0.02,0.20,-1.6
2.150,0.18,0.00,0.01,-1.9,2.150,0.16,0.03,0.26,-1.7
2.200,0.18,-3.67E-5,0.06,-2.0,2.200,0.17,0.04,0.31,-1.9
2.250,0.18,0.00,0.14,-2.1,2.250,0.17,0.06,0.38,-2.1
2.300,0.18,0.01,0.22,-2.1,2.300,0.17,0.08,0.45,-2.4
2.350,0.18,0.03,0.24,-1.8,2.350,0.18,0.10,0.48,-2.6
2.400,0.19,0.04,0.22,-1.7,2.400,0.18,0.13,0.45,-2.7
2.450,0.19,0.05,0.19,-1.7,2.450,0.19,0.15,0.37,-2.7
2.500,0.19,0.06,0.20,-1.8,2.500,0.20,0.17,0.28,-2.5
2.550,0.19,0.07,0.25,-1.9,2.550,0.21,0.18,0.19,-2.4
2.600,0.20,0.08,0.32,-2.1,2.600,0.22,0.19,0.14,-2.3
2.650,0.20,0.10,0.41,-2.4,2.650,0.23,0.19,0.11,-2.3
2.700,0.21,0.12,0.50,-2.7,2.700,0.23,0.20,0.09,-2.2
2.750,0.21,0.15,0.53,-3.0,2.750,0.24,0.20,0.05,-2.1
2.800,0.22,0.18,0.47,-2.9,2.800,0.25,0.20,-0.03,-2.0
2.850,0.23,0.20,0.34,-2.6,2.850,0.27,0.20,-0.11,-2.0
2.900,0.24,0.21,0.21,-2.4,2.900,0.27,0.19,-0.15,-1.9
2.950,0.25,0.22,0.12,-2.2,2.950,0.28,0.18,-0.12,-1.8
3.000,0.27,0.22,0.03,-2.0,3.000,0.29,0.17,-0.05,-1.8
