"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5","Time (s) Run #6","Velocity, Red (m/s) Run #6","Velocity, Blue (m/s) Run #6"
,,,0.050,0.000,0.000,0.050,0.000,0.000,0.050,0.000,0.000,0.050,0.000,0.000,0.050,0.000,0.000
,,,0.100,0.000,0.000,0.100,0.000,0.000,0.100,0.000,0.000,0.100,0.000,0.000,0.100,0.000,0.000
,,,0.150,0.000,0.000,0.150,0.000,0.000,0.150,0.000,0.000,0.150,0.000,0.000,0.150,0.000,0.000
,,,0.200,0.000,0.000,0.200,0.000,0.000,0.200,0.000,0.000,0.200,0.000,0.000,0.200,0.000,0.000
,,,0.250,0.000,0.000,0.250,0.000,0.000,0.250,0.000,0.000,0.250,0.000,0.000,0.250,0.000,0.000
,,,0.300,0.000,0.000,0.300,0.000,0.000,0.300,0.000,0.000,0.300,0.000,0.000,0.300,0.000,0.000
,,,0.350,0.000,0.000,0.350,0.000,0.000,0.350,4.042E-4,0.000,0.350,0.000,0.000,0.350,0.000,0.000
,,,0.400,0.000,0.000,0.400,0.000,0.000,0.400,0.090,-0.038,0.400,0.000,0.000,0.400,0.000,0.000
,,,0.450,0.000,0.000,0.450,0.000,0.000,0.450,0.354,-0.143,0.450,0.000,0.000,0.450,0.000,0.000
,,,0.500,0.000,0.000,0.500,0.000,0.000,0.500,0.705,-0.275,0.500,0.000,0.000,0.500,0.000,0.000
,,,0.550,0.000,0.000,0.550,0.000,0.000,0.550,0.965,-0.367,0.550,0.000,0.000,0.550,0.000,0.000
,,,0.600,0.000,0.000,0.600,0.000,0.000,0.600,1.049,-0.393,0.600,0.000,0.000,0.600,0.000,0.000
,,,0.650,0.000,0.000,0.650,0.000,0.000,0.650,1.045,-0.392,0.650,0.000,0.000,0.650,0.000,0.000
,,,0.700,0.000,0.000,0.700,0.000,0.000,0.700,1.041,-0.392,0.700,0.000,0.000,0.700,-4.042E-4,0.000
,,,0.750,0.000,0.000,0.750,0.000,0.000,0.750,1.038,-0.390,0.750,0.000,0.000,0.750,-8.084E-4,0.000
,,,0.800,0.000,0.000,0.800,0.000,0.000,0.800,1.033,-0.388,0.800,0.000,0.000,0.800,-8.084E-4,0.000
,,,0.850,0.000,0.000,0.850,0.000,0.000,0.850,1.030,-0.384,0.850,0.000,0.000,0.850,0.000,0.000
,,,0.900,0.000,0.000,0.900,0.000,0.000,0.900,1.026,-0.381,0.900,0.000,0.000,0.900,8.084E-4,0.000
,,,0.950,0.000,0.000,0.950,0.000,0.000,0.950,1.023,-0.379,0.950,0.000,0.000,0.950,8.084E-4,0.000
,,,1.000,0.000,0.000,1.000,0.000,0.000,1.000,1.018,-0.378,1.000,0.000,0.000,1.000,4.042E-4,0.000
,,,1.050,0.000,0.000,1.050,0.000,0.000,1.050,1.014,-0.375,1.050,0.000,0.000,1.050,0.000,0.000
,,,1.100,0.000,0.000,1.100,0.000,0.000,1.100,1.009,-0.371,1.100,0.000,0.000,1.100,-4.042E-4,0.000
,,,1.150,0.000,0.000,1.150,0.000,0.000,1.150,1.005,-0.367,1.150,0.000,0.000,1.150,-8.084E-4,0.000
,,,1.200,0.000,0.000,1.200,0.000,0.000,1.200,1.001,-0.365,1.200,0.000,0.000,1.200,-8.084E-4,0.000
,,,1.250,0.000,0.000,1.250,0.000,0.000,1.250,0.997,-0.363,1.250,0.000,0.000,1.250,0.000,0.000
,,,1.300,0.000,0.000,1.300,0.000,0.000,1.300,0.993,-0.361,1.300,0.000,0.000,1.300,8.084E-4,0.000
,,,1.350,0.000,0.000,1.350,0.000,0.000,1.350,0.974,-0.357,1.350,0.000,0.000,1.350,8.084E-4,0.000
,,,1.400,0.000,0.000,1.400,0.000,0.000,1.400,0.862,-0.352,1.400,0.000,0.000,1.400,4.042E-4,0.000
,,,1.450,0.025,-0.016,1.450,0.000,0.000,1.450,0.602,-0.349,1.450,0.000,0.000,1.450,0.000,0.000
