"Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
0.000,0.000,0.000,0.000,0.006,0.004,-0.001,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.006,0.003,-8.084E-4,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.007,0.004,-4.042E-4,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.008,0.005,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.007,0.006,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.005,0.006,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.002,0.005,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,8.084E-4,0.004,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.002,0.003,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.003,0.002,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.002,0.002,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,8.084E-4,0.002,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,8.084E-4,0.001,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,8.084E-4,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,-8.084E-4,-8.084E-4,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,-0.002,-0.001,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,-0.002,-0.001,0.000,0.000,0.000,0.000
0.017,-0.005,4.042E-4,0.000,-0.002,-8.084E-4,0.000,0.000,0.000,0.000
0.188,-0.049,0.104,-0.023,-8.084E-4,-4.042E-4,0.000,0.000,0.000,0.000
0.533,-0.129,0.404,-0.085,-4.042E-4,0.000,0.000,0.000,0.000,0.000
0.896,-0.208,0.794,-0.165,0.000,0.000,0.000,0.000,0.000,0.000
1.104,-0.248,1.078,-0.223,0.000,0.000,0.000,0.000,0.000,0.000
1.137,-0.250,1.167,-0.240,0.000,0.000,0.000,0.000,0.000,0.000
1.134,-0.249,1.162,-0.240,0.000,0.000,0.000,0.000,0.000,0.000
1.130,-0.248,1.158,-0.239,0.000,0.000,0.023,-0.008,0.000,0.000
1.127,-0.248,1.154,-0.239,0.000,0.000,0.203,-0.055,0.000,0.000
1.122,-0.248,1.150,-0.238,0.000,0.000,0.551,-0.138,0.000,0.000
1.118,-0.247,1.145,-0.236,0.000,4.042E-4,0.905,-0.216,0.000,0.000
1.114,-0.245,1.139,-0.234,0.000,8.084E-4,1.101,-0.253,0.000,0.000
1.109,-0.243,1.135,-0.234,0.000,8.084E-4,1.129,-0.255,0.000,0.000
1.104,-0.242,1.129,-0.233,0.000,-8.674E-18,1.126,-0.253,0.012,-0.003
1.099,-0.241,1.124,-0.232,0.000,-8.084E-4,1.123,-0.252,0.151,-0.040
1.095,-0.240,1.118,-0.231,0.000,-8.084E-4,1.120,-0.251,0.470,-0.116
1.090,-0.239,1.113,-0.230,0.000,-4.042E-4,1.116,-0.251,0.838,-0.195
1.085,-0.238,1.108,-0.229,0.000,0.000,1.112,-0.250,1.077,-0.241
1.044,-0.241,1.102,-0.228,0.000,0.000,1.109,-0.249,1.137,-0.248
0.752,-0.249,1.013,-0.231,0.000,0.000,1.106,-0.247,1.133,-0.248
0.259,-0.253,0.680,-0.238,0.000,0.000,1.103,-0.246,1.130,-0.247
-0.182,-0.247,0.199,-0.240,0.000,0.000,1.099,-0.244,1.126,-0.246
-0.365,-0.235,-0.176,-0.232,0.000,0.000,1.096,-0.242,1.122,-0.244
-0.338,-0.228,-0.286,-0.222,0.000,0.000,1.093,-0.241,1.118,-0.242
-0.316,-0.229,-0.226,-0.219,0.000,0.000,1.089,-0.240,1.115,-0.241
-0.288,-0.228,-0.172,-0.219,0.000,0.000,1.085,-0.238,1.112,-0.240
-0.255,-0.227,-0.129,-0.217,0.000,0.000,1.065,-0.238,1.107,-0.240
-0.222,-0.225,-0.101,-0.215,0.000,0.000,0.877,-0.241,1.103,-0.239
-0.189,-0.223,-0.083,-0.213,0.000,0.000,0.471,-0.243,1.099,-0.238
-0.159,-0.222,-0.070,-0.212,0.000,0.000,0.040,-0.239,1.095,-0.236
-0.129,-0.220,-0.057,-0.210,0.000,0.000,-0.171,-0.232,1.090,-0.234
-0.101,-0.218,-0.044,-0.208,0.000,0.000,-0.128,-0.228,1.082,-0.233
-0.075,-0.215,-0.032,-0.206,0.000,0.000,-0.031,-0.227,1.004,-0.232
-0.049,-0.214,,,0.000,0.000,0.016,-0.225,0.711,-0.232
-0.026,-0.213,,,0.099,-0.023,0.021,-0.223,0.278,-0.232
-0.009,-0.212,,,0.392,-0.087,0.013,-0.222,-0.051,-0.230
-8.084E-4,-0.210,,,0.780,-0.169,0.006,-0.220,-0.120,-0.228
