"Time (s) Run #1","Velocity, Blue (m/s) Run #1","Velocity, Red (m/s) Run #1","Time (s) Run #2","Velocity, Blue (m/s) Run #2","Velocity, Red (m/s) Run #2","Time (s) Run #3","Velocity, Blue (m/s) Run #3","Velocity, Red (m/s) Run #3","Time (s) Run #4","Velocity, Blue (m/s) Run #4","Velocity, Red (m/s) Run #4","Time (s) Run #5","Velocity, Blue (m/s) Run #5","Velocity, Red (m/s) Run #5","Time (s) Run #6","Velocity, Blue (m/s) Run #6","Velocity, Red (m/s) Run #6"
0.050,0.000,0.000,0.050,0.000,0.000,0.050,0.000,0.000,0.050,0.000,0.000,0.050,-0.002,-0.002,0.050,0.000,0.000
0.100,0.000,0.000,0.100,0.000,0.000,0.100,0.000,0.000,0.100,0.000,0.000,0.100,-0.002,-0.002,0.100,0.000,0.000
0.150,0.000,0.000,0.150,0.000,0.000,0.150,0.000,0.000,0.150,0.000,0.000,0.150,-0.002,-0.001,0.150,0.000,0.000
0.200,0.000,0.000,0.200,-0.047,0.044,0.200,0.000,0.000,0.200,0.000,0.000,0.200,0.000,4.042E-4,0.200,0.000,0.000
0.250,0.000,0.000,0.250,-0.250,0.238,0.250,-0.077,0.072,0.250,0.000,0.000,0.250,0.002,0.002,0.250,0.000,0.000
0.300,0.000,0.000,0.300,-0.561,0.538,0.300,-0.311,0.288,0.300,0.000,0.000,0.300,0.003,0.003,0.300,0.000,0.000
0.350,0.000,0.000,0.350,-0.825,0.791,0.350,-0.623,0.576,0.350,0.000,0.000,0.350,0.003,0.002,0.350,0.000,0.000
0.400,0.000,0.000,0.400,-0.932,0.892,0.400,-0.857,0.793,0.400,0.000,0.000,0.400,0.002,0.001,0.400,0.000,0.000
0.450,0.000,0.000,0.450,-0.930,0.888,0.450,-0.933,0.863,0.450,0.000,0.000,0.450,8.084E-4,4.042E-4,0.450,0.000,0.000
0.500,0.000,0.000,0.500,-0.928,0.886,0.500,-0.930,0.860,0.500,0.000,0.000,0.500,-4.042E-4,-4.042E-4,0.500,0.000,0.000
0.550,0.000,0.000,0.550,-0.926,0.883,0.550,-0.928,0.857,0.550,0.000,0.000,0.550,-8.084E-4,-8.084E-4,0.550,0.000,0.000
0.600,0.000,0.000,0.600,-0.922,0.880,0.600,-0.924,0.854,0.600,0.000,0.000,0.600,-0.001,-8.084E-4,0.600,0.000,0.000
0.650,0.000,0.000,0.650,-0.919,0.876,0.650,-0.922,0.851,0.650,0.000,0.000,0.650,-0.001,-8.084E-4,0.650,0.000,0.000
0.700,0.000,0.000,0.700,-0.916,0.872,0.700,-0.918,0.847,0.700,0.000,0.000,0.700,-8.084E-4,-8.084E-4,0.700,0.000,0.000
0.750,0.000,0.000,0.750,-0.912,0.869,0.750,-0.915,0.844,0.750,-0.012,0.013,0.750,-8.084E-4,-0.001,0.750,0.000,0.000
0.800,0.000,0.000,0.800,-0.909,0.864,0.800,-0.911,0.840,0.800,-0.163,0.153,0.800,-0.001,-0.001,0.800,0.000,0.000
0.850,0.000,0.000,0.850,-0.905,0.860,0.850,-0.907,0.835,0.850,-0.459,0.429,0.850,-0.002,-0.001,0.850,0.000,0.000
0.900,0.000,0.000,0.900,-0.901,0.855,0.900,-0.904,0.832,0.900,-0.759,0.712,0.900,-0.002,-0.001,0.900,0.000,0.000
0.950,0.000,0.000,0.950,-0.897,0.852,0.950,-0.901,0.828,0.950,-0.917,0.866,0.950,-0.002,-8.084E-4,0.950,0.000,0.000
1.000,0.000,0.000,1.000,-0.894,0.848,1.000,-0.897,0.824,1.000,-0.930,0.884,1.000,-0.002,-4.042E-4,1.000,0.000,0.000
1.050,0.000,0.000,1.050,-0.890,0.844,1.050,-0.892,0.820,1.050,-0.928,0.880,1.050,-0.001,4.042E-4,1.050,0.000,0.000
1.100,0.000,0.000,1.100,-0.886,0.840,1.100,-0.888,0.816,1.100,-0.925,0.877,1.100,-4.042E-4,8.084E-4,1.100,0.000,0.000
1.150,0.000,0.000,1.150,-0.882,0.835,1.150,-0.884,0.812,1.150,-0.922,0.873,1.150,4.042E-4,8.084E-4,1.150,0.000,0.000
1.200,0.000,0.000,1.200,-0.799,0.835,1.200,-0.880,0.808,1.200,-0.919,0.869,1.200,8.084E-4,4.042E-4,1.200,0.000,0.000
1.250,0.000,0.000,1.250,-0.388,0.844,1.250,-0.874,0.805,1.250,-0.915,0.865,1.250,8.084E-4,0.000,1.250,0.000,0.000
1.300,0.000,0.000,1.300,0.292,0.848,1.300,-0.638,0.811,1.300,-0.912,0.860,1.300,4.042E-4,-4.042E-4,1.300,0.000,0.000
1.350,-0.005,0.008,1.350,0.900,0.651,1.350,-0.175,0.816,1.350,-0.908,0.856,1.350,0.000,-8.084E-4,1.350,0.000,0.000
1.400,-0.143,0.141,1.400,1.178,0.260,1.400,0.276,0.625,1.400,-0.905,0.851,1.400,0.000,-8.084E-4,1.400,0.000,0.000
1.450,-0.432,0.413,1.450,1.200,-0.123,1.450,0.500,0.246,1.450,-0.901,0.847,1.450,0.000,-1.084E-18,1.450,0.000,0.000
1.500,-0.737,0.702,1.500,1.215,-0.308,1.500,0.504,-0.126,1.500,-0.897,0.843,1.500,0.000,8.084E-4,1.500,0.000,0.000
