"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
0.050,0.149,0.000,0.050,0.001,0.000,0.050,0.000,0.000,0.050,-0.034,-0.005,0.050,0.002,0.000
0.100,0.301,0.000,0.100,0.000,0.000,0.100,-0.003,0.000,0.100,-0.011,-0.004,0.100,0.008,0.000
0.150,0.476,0.000,0.150,-8.084E-4,0.000,0.150,-0.006,0.000,0.150,0.019,-0.004,0.150,0.012,0.000
0.200,0.659,0.000,0.200,-0.002,0.000,0.200,-0.007,0.000,0.200,0.062,-0.003,0.200,0.011,0.000
0.250,0.802,0.000,0.250,-0.003,0.000,0.250,8.084E-4,0.000,0.250,0.123,-0.004,0.250,0.004,0.000
0.300,0.880,0.000,0.300,-0.004,0.000,0.300,0.025,0.000,0.300,0.211,-0.004,0.300,-0.002,0.000
0.350,0.903,0.000,0.350,-0.006,0.000,0.350,0.074,0.000,0.350,0.331,-0.004,0.350,-0.006,0.000
0.400,0.905,0.000,0.400,-0.008,0.000,0.400,0.150,0.000,0.400,0.479,-0.002,0.400,-0.006,0.000
0.450,0.905,0.000,0.450,-0.007,0.000,0.450,0.264,0.000,0.450,0.631,-0.001,0.450,-0.006,0.000
0.500,0.906,0.000,0.500,-0.002,0.000,0.500,0.426,0.000,0.500,0.753,-4.042E-4,0.500,-0.006,0.000
0.550,0.907,0.000,0.550,0.008,0.000,0.550,0.636,0.000,0.550,0.822,0.000,0.550,-0.005,0.000
0.600,0.907,0.000,0.600,0.023,0.000,0.600,0.860,0.000,0.600,0.848,4.042E-4,0.600,0.003,0.000
0.650,0.907,0.000,0.650,0.048,0.000,0.650,1.038,0.000,0.650,0.852,0.001,0.650,0.035,0.000
0.700,0.907,0.000,0.700,0.091,0.000,0.700,1.136,0.000,0.700,0.852,0.002,0.700,0.106,0.000
0.750,0.907,0.000,0.750,0.158,0.000,0.750,1.165,0.000,0.750,0.852,0.002,0.750,0.225,0.000
0.800,0.907,0.000,0.800,0.251,0.000,0.800,1.168,0.000,0.800,0.853,0.002,0.800,0.388,0.000
0.850,0.907,0.000,0.850,0.370,0.000,0.850,1.168,0.000,0.850,0.854,0.002,0.850,0.585,0.000
0.900,0.907,0.000,0.900,0.508,0.000,0.900,1.167,0.000,0.900,0.854,0.002,0.900,0.799,0.000
0.950,0.907,0.000,0.950,0.659,0.000,0.950,1.168,0.000,0.950,0.854,8.084E-4,0.950,1.005,0.000
1.000,0.907,0.000,1.000,0.805,0.000,1.000,1.167,0.000,1.000,0.854,0.000,1.000,1.161,0.000
1.050,0.906,0.000,1.050,0.916,0.000,1.050,1.167,0.000,1.050,0.855,-8.084E-4,1.050,1.244,0.000
1.100,0.905,0.000,1.100,0.975,0.000,1.100,1.167,0.000,1.100,0.855,-0.001,1.100,1.268,0.000
1.150,0.904,0.000,1.150,0.992,0.000,1.150,1.166,0.000,1.150,0.855,-0.001,1.150,1.270,0.000
1.200,0.903,4.042E-4,1.200,0.994,0.000,1.200,1.166,0.000,1.200,0.855,-8.084E-4,1.200,1.270,0.000
1.250,0.777,0.028,1.250,0.994,0.000,1.250,1.163,0.002,1.250,0.736,0.024,1.250,1.270,0.000
1.300,0.527,0.081,1.300,0.994,0.000,1.300,1.003,0.040,1.300,0.500,0.072,1.300,1.270,0.000
1.350,0.276,0.131,1.350,0.994,0.000,1.350,0.680,0.110,1.350,0.262,0.121,1.350,1.269,0.000
1.400,0.150,0.154,1.400,0.994,0.000,1.400,0.357,0.173,1.400,0.144,0.145,1.400,1.268,0.000
1.450,0.149,0.150,1.450,0.994,0.000,1.450,0.196,0.200,1.450,0.144,0.145,1.450,1.268,0.000
