"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
0.050,0.000,0.000,0.050,-0.050,0.000,0.050,-0.008,0.000,0.050,0.002,0.000,0.050,0.330,0.000
0.100,0.000,0.000,0.100,-0.053,0.000,0.100,-0.001,0.000,0.100,0.003,0.000,0.100,0.401,0.000
0.150,0.000,0.000,0.150,-0.053,0.000,0.150,0.006,0.000,0.150,0.006,0.000,0.150,0.480,0.000
0.200,0.000,0.000,0.200,-0.050,0.000,0.200,0.015,0.000,0.200,0.011,0.000,0.200,0.567,0.000
0.250,0.000,0.000,0.250,-0.044,0.000,0.250,0.027,0.000,0.250,0.017,0.000,0.250,0.656,0.000
0.300,0.000,0.000,0.300,-0.038,0.000,0.300,0.047,0.000,0.300,0.023,0.000,0.300,0.736,0.000
0.350,0.000,0.000,0.350,-0.031,0.000,0.350,0.078,0.000,0.350,0.030,0.000,0.350,0.794,0.000
0.400,0.000,0.000,0.400,-0.025,0.000,0.400,0.129,0.000,0.400,0.042,0.000,0.400,0.825,0.000
0.450,0.000,0.000,0.450,-0.018,0.000,0.450,0.205,0.000,0.450,0.063,0.000,0.450,0.832,0.000
0.500,0.000,0.000,0.500,-0.005,0.000,0.500,0.307,0.000,0.500,0.098,0.000,0.500,0.833,0.000
0.550,0.000,0.000,0.550,0.021,0.000,0.550,0.430,0.000,0.550,0.148,0.000,0.550,0.832,0.000
0.600,0.000,0.000,0.600,0.067,0.000,0.600,0.559,0.000,0.600,0.211,0.000,0.600,0.832,0.000
0.650,0.000,0.000,0.650,0.129,0.000,0.650,0.668,0.000,0.650,0.286,0.000,0.650,0.832,0.000
0.700,0.000,0.000,0.700,0.200,0.000,0.700,0.738,0.000,0.700,0.375,0.000,0.700,0.832,0.000
0.750,0.000,0.000,0.750,0.299,0.000,0.750,0.766,0.000,0.750,0.477,0.000,0.750,0.832,0.000
0.800,0.000,0.000,0.800,0.454,0.000,0.800,0.770,0.000,0.800,0.584,0.000,0.800,0.831,0.000
0.850,0.000,0.000,0.850,0.638,0.000,0.850,0.770,0.000,0.850,0.691,0.000,0.850,0.832,0.000
0.900,0.000,0.000,0.900,0.781,0.000,0.900,0.770,0.000,0.900,0.794,0.000,0.900,0.832,0.000
0.950,0.000,0.000,0.950,0.843,0.000,0.950,0.771,0.000,0.950,0.875,0.000,0.950,0.831,0.000
1.000,0.000,0.000,1.000,0.850,0.000,1.000,0.771,0.000,1.000,0.921,0.000,1.000,0.830,0.000
1.050,0.000,0.000,1.050,0.850,0.000,1.050,0.771,0.000,1.050,0.934,0.000,1.050,0.829,0.000
1.100,0.000,0.000,1.100,0.850,0.000,1.100,0.771,0.000,1.100,0.935,0.000,1.100,0.829,0.000
1.150,0.010,0.000,1.150,0.850,0.000,1.150,0.770,0.000,1.150,0.935,0.000,1.150,0.829,0.000
1.200,0.060,0.000,1.200,0.851,0.000,1.200,0.770,0.000,1.200,0.935,0.000,1.200,0.828,0.000
1.250,0.171,0.000,1.250,0.850,0.000,1.250,0.770,0.000,1.250,0.935,0.000,1.250,0.827,0.000
1.300,0.332,0.000,1.300,0.851,0.000,1.300,0.770,0.000,1.300,0.935,0.000,1.300,0.825,0.000
1.350,0.495,0.000,1.350,0.850,0.000,1.350,0.771,0.000,1.350,0.935,0.000,1.350,0.824,0.000
1.400,0.612,0.000,1.400,0.850,0.000,1.400,0.770,0.000,1.400,0.935,0.000,1.400,0.823,0.000
1.450,0.671,0.000,1.450,0.850,0.000,1.450,0.770,0.000,1.450,0.935,0.000,1.450,0.822,0.000
1.500,0.687,0.000,1.500,0.849,0.000,1.500,0.770,0.000,1.500,0.935,0.000,1.500,0.772,0.050
1.550,0.689,0.000,1.550,0.849,0.000,1.550,0.769,0.000,1.550,0.935,0.000,1.550,0.653,0.170
1.600,0.690,0.000,1.600,0.848,0.000,1.600,0.768,0.000,1.600,0.934,0.000,1.600,0.514,0.307
1.650,0.690,0.000,1.650,0.848,0.000,1.650,0.768,0.000,1.650,0.933,0.000,1.650,0.426,0.392
1.700,0.690,0.000,1.700,0.847,0.000,1.700,0.767,0.000,1.700,0.932,0.000,1.700,0.407,0.409
1.750,0.690,0.000,1.750,0.846,0.000,1.750,0.766,0.000,1.750,0.932,0.000,1.750,0.407,0.406
1.800,0.690,0.000,1.800,0.846,0.000,1.800,0.765,0.000,1.800,0.930,0.000,1.800,0.404,0.404
1.850,0.690,0.000,1.850,0.845,0.000,1.850,0.764,0.000,1.850,0.930,0.000,1.850,0.401,0.401
1.900,0.690,0.000,1.900,0.844,0.000,1.900,0.738,0.025,1.900,0.928,0.000,1.900,0.399,0.400
1.950,0.690,0.000,1.950,0.842,0.000,1.950,0.650,0.113,1.950,0.911,0.017,1.950,0.398,0.399
2.000,0.690,0.000,2.000,0.841,0.000,2.000,0.525,0.238,2.000,0.818,0.113,2.000,0.397,0.397
2.050,0.690,0.000,2.050,0.801,0.040,2.050,0.424,0.340,2.050,0.664,0.267,2.050,0.394,0.393
2.100,0.690,0.000,2.100,0.690,0.150,2.100,0.383,0.378,2.100,0.525,0.403,2.100,0.390,0.390
2.150,0.690,0.000,2.150,0.549,0.289,2.150,0.378,0.377,2.150,0.462,0.460,2.150,0.388,0.389
2.200,0.690,0.000,2.200,0.447,0.388,2.200,0.375,0.376,2.200,0.458,0.457,2.200,0.387,0.388
2.250,0.690,0.000,2.250,0.415,0.416,2.250,0.373,0.374,2.250,0.455,0.455,2.250,0.384,0.384
2.300,0.690,0.000,2.300,0.412,0.412,2.300,0.372,0.373,2.300,0.452,0.453,2.300,0.381,0.381
2.350,0.689,0.000,2.350,0.409,0.410,2.350,0.371,0.371,2.350,0.450,0.451,2.350,0.378,0.378
2.400,0.688,0.000,2.400,0.407,0.408,2.400,0.368,0.368,2.400,0.448,0.449,2.400,0.376,0.377
2.450,0.687,0.000,2.450,0.406,0.406,2.450,0.365,0.365,2.450,0.445,0.445,2.450,0.374,0.375
2.500,0.686,0.000,2.500,0.403,0.403,2.500,0.362,0.363,2.500,0.443,0.442,2.500,0.372,0.372
2.550,0.686,0.000,2.550,0.400,0.399,2.550,0.360,0.361,2.550,0.440,0.440,2.550,0.369,0.369
2.600,0.685,0.000,2.600,0.397,0.397,2.600,0.359,0.359,2.600,0.438,0.439,2.600,0.366,0.366
2.650,0.684,0.000,2.650,0.394,0.395,2.650,0.357,0.356,2.650,0.436,0.436,2.650,0.363,0.363
2.700,0.683,0.000,2.700,0.392,0.392,2.700,0.354,0.353,2.700,0.433,0.433,2.700,0.361,0.361
2.750,0.652,0.031,2.750,0.389,0.389,2.750,0.350,0.350,2.750,0.429,0.430,2.750,0.359,0.359
2.800,0.565,0.118,2.800,0.386,0.386,2.800,0.347,0.349,2.800,0.426,0.428,2.800,0.356,0.356
2.850,0.452,0.231,2.850,0.382,0.382,2.850,0.345,0.347,2.850,0.424,0.425,2.850,0.352,0.352
2.900,0.367,0.313,2.900,0.380,0.380,2.900,0.343,0.344,2.900,0.422,0.422,2.900,0.348,0.348
2.950,0.339,0.339,2.950,0.377,0.378,2.950,0.340,0.340,2.950,0.418,0.418,,,
3.000,0.338,0.339,3.000,0.374,0.374,3.000,0.337,0.336,3.000,0.415,0.415,,,
3.050,0.337,0.337,3.050,0.371,0.371,3.050,0.334,0.334,3.050,0.412,0.413,,,
3.100,0.335,0.335,3.100,0.367,0.367,3.100,0.331,0.332,3.100,0.409,0.410,,,
3.150,0.333,0.332,3.150,0.363,0.365,3.150,0.329,0.330,3.150,0.407,0.406,,,
