"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
0.050,-0.006,0.000,0.050,0.000,0.000,0.050,0.002,-0.001,0.050,0.013,0.000,0.050,0.013,0.000
0.100,-0.005,8.084E-4,0.100,0.000,0.000,0.100,0.009,-4.042E-4,0.100,0.015,0.000,0.100,0.025,0.000
0.150,-0.004,8.084E-4,0.150,0.000,0.000,0.150,0.019,0.000,0.150,0.016,0.000,0.150,0.038,0.000
0.200,-1.084E-18,4.042E-4,0.200,-4.042E-4,0.000,0.200,0.035,0.000,0.200,0.019,0.000,0.200,0.058,0.000
0.250,0.007,-4.042E-4,0.250,4.042E-4,0.000,0.250,0.056,0.000,0.250,0.024,0.000,0.250,0.091,0.000
0.300,0.019,-8.084E-4,0.300,0.005,0.000,0.300,0.087,0.000,0.300,0.033,0.000,0.300,0.147,0.000
0.350,0.036,-8.084E-4,0.350,0.019,0.000,0.350,0.134,0.000,0.350,0.046,0.000,0.350,0.228,0.000
0.400,0.059,0.000,0.400,0.052,0.000,0.400,0.203,0.000,0.400,0.065,0.000,0.400,0.323,0.000
0.450,0.093,8.084E-4,0.450,0.112,0.000,0.450,0.294,0.000,0.450,0.091,0.000,0.450,0.425,0.000
0.500,0.142,8.084E-4,0.500,0.192,0.000,0.500,0.401,0.000,0.500,0.131,0.000,0.500,0.530,0.000
0.550,0.210,4.042E-4,0.550,0.277,0.000,0.550,0.509,0.000,0.550,0.188,0.000,0.550,0.627,0.000
0.600,0.288,-4.042E-4,0.600,0.370,0.000,0.600,0.603,0.000,0.600,0.263,0.000,0.600,0.696,0.000
0.650,0.360,-8.084E-4,0.650,0.469,0.000,0.650,0.669,0.000,0.650,0.347,0.000,0.650,0.728,0.000
0.700,0.419,-8.084E-4,0.700,0.555,0.000,0.700,0.703,0.000,0.700,0.430,0.000,0.700,0.736,0.000
0.750,0.480,0.000,0.750,0.605,0.000,0.750,0.713,0.000,0.750,0.506,0.000,0.750,0.738,0.000
0.800,0.560,8.084E-4,0.800,0.620,0.000,0.800,0.714,0.000,0.800,0.572,0.000,0.800,0.738,0.000
0.850,0.648,8.084E-4,0.850,0.621,0.000,0.850,0.714,0.000,0.850,0.622,0.000,0.850,0.739,0.000
0.900,0.715,0.000,0.900,0.622,0.000,0.900,0.715,0.000,0.900,0.650,0.000,0.900,0.739,0.000
0.950,0.748,-8.084E-4,0.950,0.622,0.000,0.950,0.715,0.000,0.950,0.660,0.000,0.950,0.739,0.000
1.000,0.757,-8.084E-4,1.000,0.623,0.000,1.000,0.716,0.000,1.000,0.660,0.000,1.000,0.740,0.000
1.050,0.757,0.000,1.050,0.624,0.000,1.050,0.717,0.000,1.050,0.661,0.000,1.050,0.741,0.000
1.100,0.758,8.084E-4,1.100,0.625,0.000,1.100,0.717,0.000,1.100,0.662,0.000,1.100,0.741,0.000
1.150,0.758,8.084E-4,1.150,0.625,0.000,1.150,0.717,0.000,1.150,0.662,0.000,1.150,0.741,0.000
1.200,0.758,4.042E-4,1.200,0.626,0.000,1.200,0.717,0.000,1.200,0.663,0.000,1.200,0.741,0.000
1.250,0.759,0.000,1.250,0.627,0.000,1.250,0.718,0.000,1.250,0.663,0.000,1.250,0.742,0.000
1.300,0.760,0.000,1.300,0.627,0.000,1.300,0.718,0.000,1.300,0.664,0.000,1.300,0.743,0.000
