"Time (s) Run #1","Velocity, Red (m/s) Run #1","Velocity, Blue (m/s) Run #1","Time (s) Run #2","Velocity, Red (m/s) Run #2","Velocity, Blue (m/s) Run #2","Time (s) Run #3","Velocity, Red (m/s) Run #3","Velocity, Blue (m/s) Run #3","Time (s) Run #4","Velocity, Red (m/s) Run #4","Velocity, Blue (m/s) Run #4","Time (s) Run #5","Velocity, Red (m/s) Run #5","Velocity, Blue (m/s) Run #5"
0.050,0.027,0.000,0.050,0.001,0.000,0.050,0.000,0.000,0.050,0.015,0.000,0.050,0.022,0.000
0.100,0.007,0.000,0.100,0.005,0.000,0.100,0.000,0.000,0.100,0.015,0.000,0.100,0.023,0.000
0.150,-0.005,0.000,0.150,0.013,0.000,0.150,0.000,0.000,0.150,0.015,0.000,0.150,0.024,0.000
0.200,-0.008,0.000,0.200,0.026,0.000,0.200,0.000,0.000,0.200,0.014,0.000,0.200,0.025,0.000
0.250,-0.004,0.000,0.250,0.051,0.000,0.250,0.000,0.000,0.250,0.011,0.000,0.250,0.028,0.000
0.300,-0.001,0.000,0.300,0.102,0.000,0.300,0.000,0.000,0.300,0.007,0.000,0.300,0.037,0.000
0.350,-0.003,0.000,0.350,0.208,0.000,0.350,0.000,0.000,0.350,0.005,0.000,0.350,0.061,0.000
0.400,-0.005,0.000,0.400,0.391,0.000,0.400,0.000,0.000,0.400,0.012,0.000,0.400,0.114,0.000
0.450,-0.005,0.000,0.450,0.641,0.000,0.450,0.000,0.000,0.450,0.034,0.000,0.450,0.212,0.000
0.500,-0.005,0.000,0.500,0.903,0.000,0.500,0.000,0.000,0.500,0.082,0.000,0.500,0.354,0.000
0.550,-0.006,0.000,0.550,1.109,0.000,0.550,0.000,0.000,0.550,0.168,0.000,0.550,0.530,0.000
0.600,-0.004,0.000,0.600,1.221,0.000,0.600,0.000,0.000,0.600,0.298,0.000,0.600,0.720,0.000
0.650,-0.002,0.000,0.650,1.258,0.000,0.650,0.000,0.000,0.650,0.473,0.000,0.650,0.902,0.000
0.700,-0.005,0.000,0.700,1.262,0.000,0.700,0.000,0.000,0.700,0.679,0.000,0.700,1.046,0.000
0.750,-0.018,0.000,0.750,1.262,0.000,0.750,0.000,0.000,0.750,0.896,0.000,0.750,1.135,0.000
0.800,-0.033,0.000,0.800,1.261,0.000,0.800,0.000,0.000,0.800,1.087,0.000,0.800,1.173,0.000
0.850,-0.040,0.000,0.850,1.261,0.000,0.850,0.000,0.000,0.850,1.218,-4.042E-4,0.850,1.181,0.000
0.900,-0.038,0.000,0.900,1.260,0.000,0.900,0.000,0.000,0.900,1.283,-8.084E-4,0.900,1.181,0.000
0.950,-0.024,0.000,0.950,1.259,0.000,0.950,0.000,0.000,0.950,1.301,-8.084E-4,0.950,1.180,0.000
1.000,0.004,0.000,1.000,1.258,0.000,1.000,0.000,0.000,1.000,1.302,-4.042E-4,1.000,1.180,0.000
1.050,0.050,0.000,1.050,1.257,0.000,1.050,0.000,0.000,1.050,1.301,0.000,1.050,1.179,0.000
1.100,0.116,0.000,1.100,1.257,0.000,1.100,0.000,0.000,1.100,1.300,0.000,1.100,1.178,0.000
1.150,0.202,0.000,1.150,1.255,0.000,1.150,0.001,0.000,1.150,1.299,0.000,1.150,1.178,0.000
